dtype, strategy       , count, median_us         , p95_us
bf16 , Manual Copy    ,  1180,  221.5935         , 1725.5339999999997
bf16 , NumPy pad      ,  1180,  945.8175         , 2973.82615
bf16 , Torch ZeroPad2d,  1180, 3145.706          , 9893.199249999998
i16  , Manual Copy    ,  1180,  212.151          , 1814.5514499999995
i16  , NumPy pad      ,  1180,  746.351          , 2078.4118999999996
i16  , Torch ZeroPad2d,  1180, 1505.9725         , 2330.0075999999995
i8   , Manual Copy    ,  1180,  150.297          ,  764.1015499999993
i8   , NumPy pad      ,  1180,  384.99           , 1387.4295999999997
i8   , Torch ZeroPad2d,  1180, 1372.0504999999998, 1953.5102499999998
